Entry Price;Hedge50 Profit;RF Profit;Arb Profit;Budget Limit;Risk Threshold;Target Loss;Total PnL ($);Total Invested ($);Entry size;Wins;Losses;Total Markets
0,42;0,05;0,1;0,25;60;-0,3;-0,01;11,26;17463,11;15;325;95;420
0,42;0,05;0,1;0,3;80;-0,3;-0,08;11,11;22321,92;15;333;87;420
0,42;0,16;0,05;0,25;60;-0,5;-0,08;11,06;13764,69;10;365;55;420
0,42;0,21;0,05;0,35;105;-0,3;-0,08;11,05;25898,44;15;361;59;420
0,42;0,05;0,1;0,25;60;-0,5;0,05;11;17451,94;15;327;93;420
0,42;0,05;0,05;0,3;60;-0,3;-0,01;10,78;16827,61;15;349;71;420
0,42;0,16;0,05;0,25;60;-0,3;0,05;10,71;16565,35;15;356;64;420
0,42;0,16;0,05;0,25;60;-0,5;0,05;10,64;13773,8;10;366;54;420
0,42;0,16;0,1;0,35;60;-0,3;0,05;10,5;17587,59;10;331;89;420
0,42;0,05;0,1;0,25;60;-0,5;-0,08;10,48;17443,78;15;324;96;420
0,42;0,16;0,05;0,25;60;-0,5;-0,01;10,45;13769,96;10;365;55;420
0,42;0,11;0,05;0,35;60;-0,5;-0,08;10,29;17466,43;15;347;73;420
0,42;0,16;0,05;0,25;60;-0,5;0,05;9,87;16553,92;15;355;65;420
0,42;0,16;0,15;0,2;60;-0,5;0,05;9,32;17256,75;15;321;99;420
0,42;0,16;0,05;0,2;80;-0,5;-0,08;9,09;18418,8;15;370;50;420
0,42;0,16;0,05;0,3;80;-0,5;-0,01;8,82;20482,21;15;357;63;420
0,42;0,11;0,05;0,35;60;-0,3;-0,01;8,5;17472,92;15;347;73;420
0,42;0,11;0,05;0,35;60;-0,3;0,05;7,26;17478,22;15;348;72;420
0,42;0,05;0,05;0,3;60;-0,3;-0,08;7,12;16822,26;15;349;71;420
0,42;0,21;0,05;0,35;105;-0,5;-0,01;7,09;25902,4;15;361;59;420
0,42;0,16;0,05;0,2;80;-0,5;-0,01;6,98;18420,91;15;370;50;420
0,42;0,05;0,15;0,2;105;-0,3;0,05;6,82;22667,46;10;354;66;420
